mode,paths,AP_all,AP_large,AP_medium,AP_small,AR_all,AR_large,AR_medium,AR_small,Precision,Recall,mAP50,mAP50_95,mAP75,max_det
full,P3->P2 ON; P4->P3 ON,0.3139695863284971,0.5597643893364792,0.4216613958965225,0.22946016075652398,0.44922587134454434,0.695468175606402,0.5637576076902888,0.3644307939981366,0.6145219869990612,0.5191387302736292,0.5447030214152957,0.34048402189012156,0.3545008176254856,500
only_p3_to_p2,P3->P2 ON; P4->P3 OFF,0.31284383471768323,0.5688218557715183,0.42030977219764293,0.22753735781617657,0.447083929240257,0.6964859799263214,0.5615285916633534,0.3621394561056922,0.6157608784695799,0.5146421425752871,0.5435690682718567,0.3395287639841084,0.35405205182607336,500
only_p4_to_p3,P3->P2 OFF; P4->P3 ON,0.31336888445446953,0.5597220640576359,0.42063859303166157,0.22916543005453693,0.44926045878728244,0.6952382905489307,0.5601583094189235,0.3660536060042229,0.6194225154816035,0.5142306979623487,0.5438567655967328,0.33967463572553214,0.3525023576185049,500
both_off,P3->P2 OFF; P4->P3 OFF,0.31165447214950764,0.5688396287157225,0.41941224279284756,0.22685965983657339,0.44763322351232504,0.6962560948688502,0.5594634095391635,0.3638410760586223,0.6097304251423189,0.5187148674194533,0.5430686681060406,0.3385734322365855,0.35147229456939943,500
