                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3559,                  1.006,                 1.0441,                0.59452,                0.48005,                0.51358,                0.31767,                  1.329,                 1.0183,                 1.0602,              0.0093497,              0.0093497,              0.0093497
                     35,                 1.3433,                0.99725,                 1.0397,                0.59463,                0.48292,                0.51644,                 0.3196,                 1.3274,                 1.0143,                 1.0624,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.3445,                0.99576,                 1.0427,                0.58926,                0.49638,                0.52152,                0.32289,                 1.3215,                 1.0112,                 1.0628,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.3395,                0.99088,                 1.0429,                0.59438,                 0.4903,                0.51963,                0.32026,                 1.3231,                 1.0109,                 1.0628,              0.0092294,              0.0092294,              0.0092294
                     38,                 1.3329,                0.98028,                 1.0402,                0.59992,                0.49086,                0.52273,                 0.3247,                 1.3191,                 1.0052,                 1.0605,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.3277,                0.97763,                 1.0389,                 0.6094,                0.48931,                0.52493,                0.32429,                  1.324,                 1.0066,                 1.0622,               0.009144,               0.009144,               0.009144
                     40,                 1.3259,                 0.9761,                 1.0405,                0.60998,                 0.4915,                0.52566,                 0.3265,                 1.3164,                0.99721,                 1.0634,              0.0090998,              0.0090998,              0.0090998
                     41,                 1.3289,                0.96609,                 1.0389,                 0.6068,                0.49904,                0.52807,                0.32812,                 1.3205,                0.99871,                 1.0641,              0.0090546,              0.0090546,              0.0090546
                     42,                 1.3239,                 0.9686,                 1.0365,                 0.6109,                0.49384,                 0.5267,                 0.3261,                  1.316,                0.99786,                  1.062,              0.0090084,              0.0090084,              0.0090084
                     43,                 1.3215,                0.96468,                 1.0394,                0.59655,                0.49614,                0.52318,                0.32473,                 1.3138,                0.99363,                 1.0642,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.3194,                0.96117,                 1.0372,                0.60493,                 0.4963,                0.52752,                0.32556,                 1.3164,                0.99381,                  1.063,              0.0089131,              0.0089131,              0.0089131
                     45,                 1.3155,                0.95741,                 1.0363,                0.61533,                0.49908,                0.53217,                0.32967,                 1.3111,                0.98967,                 1.0637,               0.008864,               0.008864,               0.008864
                     46,                 1.3159,                0.95085,                 1.0365,                0.61577,                0.49486,                0.52728,                 0.3271,                 1.3159,                0.98738,                 1.0649,               0.008814,               0.008814,               0.008814
                     47,                 1.3216,                0.95226,                 1.0385,                 0.6117,                0.49098,                0.52536,                0.32531,                 1.3163,                0.99198,                 1.0635,               0.008763,               0.008763,               0.008763
                     48,                 1.3173,                0.94933,                 1.0381,                0.60753,                0.50163,                0.53031,                0.32802,                 1.3205,                0.98853,                 1.0649,              0.0087112,              0.0087112,              0.0087112
                     49,                 1.3085,                0.94562,                  1.036,                0.60359,                0.50032,                0.52936,                0.32844,                 1.3159,                0.98468,                 1.0654,              0.0086584,              0.0086584,              0.0086584
                     50,                 1.3086,                0.93981,                 1.0382,                0.62022,                0.49489,                0.52947,                0.32902,                 1.3194,                0.98565,                 1.0681,              0.0086047,              0.0086047,              0.0086047
                     51,                 1.3047,                0.93366,                 1.0365,                0.61584,                0.50084,                0.53295,                0.32969,                 1.3178,                 0.9803,                 1.0659,              0.0085502,              0.0085502,              0.0085502
                     52,                    1.3,                0.93006,                  1.034,                0.61556,                0.50121,                0.53396,                0.33121,                 1.3085,                 0.9755,                 1.0639,              0.0084948,              0.0084948,              0.0084948
                     53,                 1.3029,                0.92717,                  1.036,                0.60091,                0.50855,                0.53435,                0.33164,                 1.3133,                0.98101,                 1.0662,              0.0084385,              0.0084385,              0.0084385
                     54,                 1.3041,                0.92954,                 1.0353,                0.61038,                0.50154,                0.52893,                0.32857,                 1.3092,                0.98147,                 1.0639,              0.0083814,              0.0083814,              0.0083814
                     55,                 1.2944,                0.92421,                 1.0341,                0.61581,                0.49948,                0.53612,                0.33345,                 1.3112,                0.97559,                 1.0652,              0.0083235,              0.0083235,              0.0083235
                     56,                 1.2931,                 0.9197,                 1.0343,                0.61261,                0.50947,                0.53885,                  0.335,                 1.3121,                0.97015,                 1.0662,              0.0082648,              0.0082648,              0.0082648
                     57,                 1.3001,                0.92237,                  1.037,                0.61785,                0.50662,                0.53653,                 0.3316,                 1.3082,                0.97695,                 1.0655,              0.0082052,              0.0082052,              0.0082052
                     58,                 1.2925,                0.91739,                 1.0338,                0.62085,                0.50446,                0.53673,                0.33315,                 1.3076,                0.97084,                 1.0665,               0.008145,               0.008145,               0.008145
                     59,                 1.2906,                0.91235,                 1.0324,                0.61116,                0.50583,                0.53641,                0.33251,                 1.3092,                0.97034,                 1.0668,              0.0080839,              0.0080839,              0.0080839
                     60,                 1.2869,                0.90641,                 1.0331,                0.61487,                0.51437,                0.54041,                0.33521,                 1.3054,                0.96489,                 1.0671,              0.0080221,              0.0080221,              0.0080221
                     61,                 1.2848,                0.90483,                 1.0319,                0.61807,                0.50425,                 0.5356,                0.33287,                  1.307,                0.96806,                 1.0674,              0.0079595,              0.0079595,              0.0079595
                     62,                 1.2858,                0.90189,                 1.0335,                0.61817,                0.50419,                 0.5408,                0.33643,                 1.3052,                0.96571,                 1.0673,              0.0078963,              0.0078963,              0.0078963
                     63,                 1.2831,                 0.8979,                 1.0305,                0.62877,                0.50602,                0.54146,                0.33638,                 1.3052,                 0.9621,                 1.0666,              0.0078323,              0.0078323,              0.0078323
                     64,                 1.2836,                0.89891,                 1.0328,                0.60678,                0.52112,                0.54224,                0.33717,                 1.3123,                0.96429,                 1.0709,              0.0077677,              0.0077677,              0.0077677
                     65,                 1.2833,                 0.8943,                 1.0331,                0.62987,                0.51414,                0.54333,                0.33809,                 1.3072,                0.96075,                 1.0682,              0.0077023,              0.0077023,              0.0077023
                     66,                 1.2788,                0.88884,                  1.032,                0.61341,                 0.5162,                 0.5453,                0.33975,                 1.3057,                0.96273,                 1.0696,              0.0076364,              0.0076364,              0.0076364
                     67,                 1.2789,                0.89068,                 1.0312,                0.61387,                0.51293,                0.54048,                0.33712,                 1.3071,                0.96282,                 1.0683,              0.0075698,              0.0075698,              0.0075698
                     68,                 1.2762,                0.88867,                 1.0298,                0.61403,                0.51456,                0.54317,                 0.3374,                 1.3069,                0.95947,                 1.0685,              0.0075025,              0.0075025,              0.0075025
                     69,                 1.2692,                 0.8836,                 1.0283,                0.62386,                0.50504,                0.54377,                0.33819,                 1.3073,                0.95906,                 1.0698,              0.0074347,              0.0074347,              0.0074347
                     70,                 1.2746,                0.88199,                 1.0306,                0.62044,                0.51449,                0.54163,                0.33838,                 1.3036,                0.95794,                 1.0685,              0.0073663,              0.0073663,              0.0073663
                     71,                 1.2694,                 0.8757,                 1.0293,                0.61707,                 0.5147,                 0.5431,                0.33812,                 1.3051,                0.95572,                 1.0696,              0.0072973,              0.0072973,              0.0072973
                     72,                 1.2723,                0.87777,                 1.0283,                0.61234,                0.52095,                0.54309,                0.33858,                 1.3071,                0.95591,                 1.0698,              0.0072277,              0.0072277,              0.0072277
                     73,                 1.2624,                0.86984,                 1.0262,                0.62436,                0.50544,                0.54377,                0.33813,                 1.3059,                0.95541,                 1.0697,              0.0071576,              0.0071576,              0.0071576
                     74,                 1.2663,                0.86927,                 1.0286,                 0.6235,                0.50675,                0.54167,                 0.3379,                 1.3071,                0.95926,                  1.071,               0.007087,               0.007087,               0.007087
