mode,gate_kind,suppression_strength,AP_all,AR_all,AP_small,AR_small,AP_medium,AR_medium,AP_large,AR_large,max_det,delta_AP_all,delta_AR_all,delta_AP_small,delta_AR_small,delta_AP_medium,delta_AR_medium,delta_AP_large,delta_AR_large,delta_max_det
full,none,0.0,0.31499942108659135,0.4501281156150888,0.22891708626301424,0.363907475808454,0.4248485316225591,0.5676186421387558,0.5663497620746415,0.7013756284909993,500,,,,,,,,,
existing_gate_l010,existing_gate,0.1,0.31489696221833724,0.45018894740468,0.22891990507195084,0.36415119470685037,0.4245283512711764,0.5676248768308576,0.5663497620746415,0.7013756284909993,500,-0.00010245886825410722,6.083178959120916e-05,2.8188089365999147e-06,0.00024371889839636118,-0.00032018035138270395,6.234692101814154e-06,0.0,0.0,0.0
existing_gate_l025,existing_gate,0.25,0.31462331623571704,0.4498330793683016,0.2284944823295375,0.36334768749578517,0.4245587421184134,0.5679159397361547,0.5663497620746415,0.7013756284909993,500,-0.0003761048508743037,-0.00029503624678722806,-0.00042260393347673397,-0.0005597883126688408,-0.0002897895041457099,0.0002972975973989378,0.0,0.0,0.0
existing_gate_l050,existing_gate,0.5,0.314280508345645,0.4499296588368764,0.22815722990670634,0.3636721524772093,0.4243511952251661,0.5678782703640419,0.5663486982706235,0.7013756284909993,500,-0.0007189127409463203,-0.00019845677821239693,-0.000759856356307903,-0.00023532333124470783,-0.0004973363973929668,0.00025962822528613483,-1.0638040179866692e-06,0.0,0.0
agreement_l010,agreement,0.1,0.3148746358021063,0.45007668620786234,0.22889551385330634,0.36400429501558157,0.42454227206359174,0.5673941247296095,0.5663497620746415,0.7013756284909993,500,-0.00012478528448506276,-5.1429407226466495e-05,-2.1572409707903972e-05,9.681920712756309e-05,-0.0003062595589673478,-0.00022451740914630758,0.0,0.0,0.0
agreement_l025,agreement,0.25,0.314813016668805,0.4501326304650219,0.22876959781436754,0.36396235658069354,0.42455440932907323,0.5679038204281965,0.5663496359875342,0.7013756284909993,500,-0.00018640441778633443,4.514849933079379e-06,-0.0001474884486467043,5.4880772239529474e-05,-0.0002941222934858545,0.0002851782894407462,-1.260871073105463e-07,0.0,0.0
agreement_l050,agreement,0.5,0.3145717229773538,0.4497501017778967,0.22860808473942917,0.36356173935021535,0.42429248064309416,0.567374333446872,0.5663488208309655,0.7013756284909993,500,-0.0004276981092375398,-0.0003780138371921038,-0.0003090015235850674,-0.0003457364582386546,-0.0005560509794649282,-0.0002443086918837434,-9.412436760003473e-07,0.0,0.0
