model,mode,mAP50_95,mAP50,mAP75,AR_all,AP_small,AR_small,AP_medium,AR_medium,AP_large,AR_large,Precision_conf025_iou05,Recall_conf025_iou05,prediction_count,prediction_seconds,forward_images
e1,full,0.3112897138616605,0.5061082628658905,0.31966252615521046,0.448873753893199,0.2263379898701116,0.3656655402438562,0.41899938246218577,0.5654620032054231,0.5069767637643231,0.6212172576374567,0.6959811259355678,0.6621687866044016,244200,11.569836623966694,548
e1,proxy_top1,0.3311403106288282,0.5426197892226698,0.3370559931807796,0.47660540135005275,0.2542964602146589,0.41047755847467193,0.42595562070429654,0.5674053626891518,0.5042667591349826,0.6028910586369661,0.6691960822342902,0.712170076627364,244013,19.971930116415024,1096
e1,proxy_top2,0.33760035214146145,0.5519952331945818,0.3436367149883587,0.48828692857541534,0.26289641577722683,0.4241329655138573,0.42989219098820014,0.5752157145697825,0.5026408624547007,0.6036532077293006,0.6479127199689589,0.7323976366779329,251290,22.134396746754646,1644
e1,oracle_top1,0.3325212317641152,0.5448548155473195,0.3385864422938949,0.4773897349282768,0.2559312898597782,0.41223809809281875,0.4264582212686284,0.5676492798612278,0.5040402820238808,0.602316345993288,0.6718863978991392,0.7129182899455611,243690,20.143053863197565,1096
e1,oracle_top2,0.3388706586117624,0.554796062974604,0.3442994054453252,0.48886205471789523,0.2636463646591516,0.425977196810156,0.4314323105689748,0.5747804311132098,0.5031475034838313,0.6050949872006047,0.6506652036757646,0.7343842720400423,251303,21.989754877984524,1644
