module,parameter_count,parameter_rms_delta,parameter_relative_frobenius_delta,parameter_cosine_similarity,float_buffer_count,float_buffer_rms_delta,float_buffer_relative_frobenius_delta,float_buffer_cosine_similarity,integer_buffer_count,integer_buffer_changed
Detect,975672,0.015433491797207922,0.1287767449000288,0.991707554061841,6144,0.1478391843072989,0.3950900563466926,0.9228754339842239,24,0
P2_layer_scale,128,0.06954795938612819,0.46306250924615844,0.889542975259036,0,,,,0,0
P2_semantic_project,16640,0.030724442016132544,0.3220447471449069,0.9483583313868703,256,0.09696027816975382,0.7451923337520758,0.7232670674227466,1,0
P2_semantic_refine,18048,0.028577137212742038,0.22337850879685858,0.9750190382744174,512,0.05332136316439425,0.6065859864407314,0.8481982906281937,2,0
P2_spatial_gate,769,0.06402362449055164,0.41142801831681647,0.9419994321186966,32,0.2813325181699672,0.7223170907601176,0.729611064534621,1,0
P3_spatial_gate,625,0.008743799384967253,0.05122355222489929,0.9986922329095744,32,0.10044980886903365,0.22681613579077906,0.9774888950207179,1,0
backbone_0_10,5441984,0.01751111023791629,0.28389968994823844,0.9598099651389014,16736,0.4614385965118451,0.1894649202749324,0.9820806244792635,40,0
model26_nonspatial,80064,0.010590441412535482,0.14073362726412414,0.9900720397625941,768,0.02061010399549118,0.2823195415901434,0.9599270036820506,3,0
neck_11_25,3261312,0.01464432669016842,0.2987541622197605,0.9555094023796823,9088,0.07343456110128727,0.4200703506190008,0.9092074320559038,27,0
