                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3611,                 1.0161,                 1.0395,                0.57788,                0.48676,                0.50858,                0.31536,                 1.3291,                 1.0212,                  1.056,              0.0093497,              0.0093497,              0.0093497
                     35,                 1.3479,                 1.0055,                 1.0352,                0.59031,                0.48435,                 0.5117,                0.31639,                 1.3313,                  1.021,                 1.0581,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.3503,                 1.0064,                 1.0377,                0.59795,                0.48147,                0.51416,                0.31927,                 1.3239,                 1.0208,                 1.0539,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.3446,                 1.0008,                 1.0379,                0.58502,                0.48816,                0.51321,                0.31664,                 1.3225,                 1.0185,                 1.0566,              0.0092294,              0.0092294,              0.0092294
                     38,                 1.3377,                0.98971,                 1.0352,                0.59327,                0.48989,                0.51492,                0.31996,                 1.3236,                 1.0135,                  1.055,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.3319,                0.98886,                 1.0347,                0.58358,                0.48704,                 0.5113,                0.31553,                 1.3343,                 1.0189,                 1.0606,               0.009144,               0.009144,               0.009144
                     40,                 1.3306,                0.98737,                 1.0356,                0.60168,                0.48183,                0.51512,                0.31927,                 1.3236,                 1.0134,                 1.0586,              0.0090998,              0.0090998,              0.0090998
                     41,                 1.3342,                0.97836,                 1.0342,                0.59929,                0.49251,                0.51986,                 0.3216,                 1.3233,                 1.0074,                 1.0546,              0.0090546,              0.0090546,              0.0090546
                     42,                 1.3291,                0.97847,                  1.032,                0.60787,                0.49115,                0.52189,                0.32243,                 1.3189,                 1.0061,                 1.0559,              0.0090084,              0.0090084,              0.0090084
                     43,                 1.3258,                0.97623,                 1.0345,                0.58913,                0.49023,                0.51661,                0.32081,                 1.3217,                  1.005,                 1.0593,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.3231,                0.96969,                 1.0323,                0.58642,                0.49889,                0.51782,                0.31937,                 1.3205,                 1.0012,                 1.0579,              0.0089131,              0.0089131,              0.0089131
