class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.5604647812202787,0.40312811201677223,0.43828604963711626,0.19776998499325044
people,5125,0.5928594149652674,0.272,0.3301140692253587,0.12552670308042693
bicycle,1287,0.30848973894939746,0.1655011655011655,0.1432095311793421,0.06125137769068758
car,14064,0.7334415372256831,0.7728953356086462,0.7933769893560125,0.562694622399101
van,1975,0.529632224730768,0.44253164556962027,0.44744825810754535,0.3150291897494367
truck,750,0.5855072399140597,0.37066666666666664,0.39045895958668336,0.25514363064816326
tricycle,1045,0.3972761390298884,0.31483253588516746,0.2918006525751539,0.16269632088134103
awning-tricycle,532,0.2870343353665683,0.18045112781954886,0.15356284228105826,0.09939230917532788
bus,251,0.6963569408906779,0.5298804780876494,0.5599391967773785,0.4035753736529544
motor,4886,0.4967348881116791,0.46785678649096174,0.4505620772424476,0.20148646106518164
