model,mode,mAP50_95,mAP50,mAP75,AR_all,AP_small,AR_small,AP_medium,AR_medium,AP_large,AR_large,Precision_conf025_iou05,Recall_conf025_iou05,prediction_count,prediction_seconds,forward_images
e1,full,0.3112897138616605,0.5061082628658905,0.31966252615521046,0.448873753893199,0.2263379898701116,0.3656655402438562,0.41899938246218577,0.5654620032054231,0.5069767637643231,0.6212172576374567,0.6959811259355678,0.6621687866044016,244200,11.48650997504592,548
e1,sliced,0.3243825927733547,0.5359471209485516,0.32953769506876374,0.4716629510878629,0.2582506995978838,0.41618308792534864,0.409515610006918,0.5475111381808025,0.37059323614912615,0.49078376838882043,0.690080971659919,0.7036301246162182,245086,15.064905643463135,2192
e1,combined,0.34159680411329457,0.5572112201989994,0.348761721071066,0.49572958690845687,0.2644183187427659,0.4291383827082022,0.437174190980831,0.5880981990808067,0.5157673144443258,0.64802932747591,0.6333494144993641,0.7451688640057793,255814,27.087432131171227,2740
e5a,full,0.31442908005116227,0.5040893241545268,0.325074246336228,0.45169817107118876,0.22806988025044655,0.36602715962162025,0.42527851798177396,0.57133036373147,0.5374622899583545,0.6799229594067353,0.6972000437493164,0.6578601099099564,245252,11.138365149497986,548
e5a,sliced,0.3222075699191032,0.5327631025415618,0.3284375953985911,0.4686580918872047,0.2532379900452952,0.41033458684181917,0.41088002309278165,0.5501294326710474,0.3639414259649448,0.4516365231101669,0.6987340461335335,0.6963543951082329,247800,15.575739674270153,2192
e5a,combined,0.3423270453105828,0.5551355217403268,0.3521154928223013,0.4959349313320761,0.2649625279997033,0.42711072055805915,0.4400053019236467,0.5897343413996923,0.5259375882456013,0.6592730551387151,0.6405732939808604,0.7391573570009546,257399,27.25251531228423,2740
