outcome,min_cell_per_group,eligible_strata,total_strata,missing_total,present_total,missing_in_common_support,present_in_common_support,missing_coverage,present_coverage,overlap_weight_sum,weighted_missing_mean,weighted_present_mean,adjusted_difference_missing_minus_present,model,scheme,strata
zero_final_positive,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.020674970317363078,0.0012521890677288851,0.019422781249634192,E10a,coarse_class_size_density,class|size_bin|density_bin
conflict_loss_fraction,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.12689818984932355,0.06318462201901172,0.06371356783031183,E10a,coarse_class_size_density,class|size_bin|density_bin
target_weight_mean,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.3297560994921901,0.49602872241143287,-0.16627262291924277,E10a,coarse_class_size_density,class|size_bin|density_bin
target_weight_max,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.6246438854124057,0.8326836746138315,-0.20803978920142585,E10a,coarse_class_size_density,class|size_bin|density_bin
p2_final_share,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.7769599994192183,0.7750907644576279,0.0018692349615904158,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_P2,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,10.91087202042531,12.738142734350784,-1.8272707139254738,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_P2,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,6.136412408229834,6.648629546520612,-0.5122171382907785,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_P2,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,5.44622804589267,6.280612251899767,-0.8343842060070976,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_P3,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,2.7333651656502322,3.1813611400083084,-0.44799597435807614,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_P3,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,1.352834065789125,1.5993059250893171,-0.24647185930019222,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_P3,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,1.1857418964146744,1.4969549057171092,-0.3112130093024348,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_P4,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.6986050908386652,0.7827478680547783,-0.08414277721611307,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_P4,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.26261429332659164,0.265239282793507,-0.0026249894669153617,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_P4,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.22895483491028853,0.24218045968074428,-0.013225624770455746,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_P5,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.16644093156972153,0.20392394426049756,-0.03748301269077603,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_P5,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.051193232425350094,0.044685850621856385,0.006507381803493709,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_final_P5,10,71,116,8854,17732,8263,17029,0.9332505082448611,0.9603541619670652,4289.15436865567,0.045859005898041524,0.0400111569517969,0.005847848946244627,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_total,20,54,116,8854,17732,7941,16313,0.8968827648520443,0.9199751861042184,4126.01549987888,14.176953845281917,16.621239071905826,-2.4442852266239097,E10a,coarse_class_size_density,class|size_bin|density_bin
in_gt_cap10,20,54,116,8854,17732,7941,16313,0.8968827648520443,0.9199751861042184,4126.01549987888,7.866595826023029,8.595813390593097,-0.7292175645700683,E10a,coarse_class_size_density,class|size_bin|density_bin
zero_in_gt,20,54,116,8854,17732,7941,16313,0.8968827648520443,0.9199751861042184,4126.01549987888,0.003989580863255424,0.00043316237997018385,0.0035564184832852404,E10a,coarse_class_size_density,class|size_bin|density_bin
tal_preconflict_total,20,54,116,8854,17732,7941,16313,0.8968827648520443,0.9199751861042184,4126.01549987888,7.804270527069538,8.571842969979627,-0.7675724429100894,E10a,coarse_class_size_density,class|size_bin|density_bin
