model,raw075_group,n,rate
E10a,missing,8854,0.33303242307981645
E10a,present,17732,0.6669675769201836
E16a,missing,8849,0.3328443541713684
E16a,present,17737,0.6671556458286316
E21a,missing,8889,0.33434890543895285
E21a,present,17697,0.6656510945610472
