model,E10a_raw075_group,n,in_gt_total,tal_preconflict_total,tal_final_total,zero_final_positive,conflict_loss_fraction,target_weight_mean,tal_final_P2
E10a,missing,8854,11.072848430088095,6.64456742715157,5.7291619606957305,0.04709735712672238,0.15574341051405272,0.33204812861700184,4.4700700248475265
E10a,present,17732,24.2917324610873,9.28755921497857,8.99887209564629,0.0005639521768554027,0.03454043997503865,0.5405430619803216,6.7353936386194455
E16a,missing,8854,11.072848430088095,6.648407499435283,5.740230404337023,0.04608086740456291,0.15424834728113415,0.336621421025832,4.482719674723289
E16a,present,17732,24.2917324610873,9.287333634107828,8.993514549966163,0.0006767426122264832,0.035096362609194694,0.5410107261909101,6.756598240469208
E21a,missing,8854,11.072848430088095,6.648181612830359,5.742263383781342,0.045064377682403435,0.15377452639316463,0.3387436609459675,4.489948046080867
E21a,present,17732,24.2917324610873,9.286656891495602,8.991427926911799,0.0006767426122264832,0.03535338477805622,0.5418311163295337,6.781186555380104
