model,raw075_group,n,best_raw_iou,best_raw_iou_P2,in_gt_total,in_gt_cap10,zero_in_gt,tal_preconflict_total,tal_final_total,zero_final_positive,conflict_loss_fraction,target_weight_mean,target_weight_max,p2_final_share,in_gt_P2,tal_preconflict_P2,tal_final_P2,in_gt_P3,tal_preconflict_P3,tal_final_P3,in_gt_P4,tal_preconflict_P4,tal_final_P4,in_gt_P5,tal_preconflict_P5,tal_final_P5
E10a,missing,8854,0.616939699520894,0.6080661663553746,11.072848430088095,6.71346284165349,0.013101423085611023,6.64456742715157,5.7291619606957305,0.04709735712672238,0.15574341051405272,0.33204812861700184,0.6033602744856998,0.7679451732995647,8.320420149085159,5.165348994804608,4.4700700248475265,2.087305172803253,1.1773209848655974,1.0028235825615541,0.5388524960469844,0.2509600180709284,0.2119945787214818,0.12627061215269936,0.05093742941043596,0.04427377456516828
E10a,present,17732,0.8578551937623242,0.8465621271837707,24.2917324610873,9.300360929393188,0.0001691856530566208,9.28755921497857,8.99887209564629,0.0005639521768554027,0.03454043997503865,0.5405430619803216,0.8447701618060236,0.7490741711046982,18.28327317843447,6.951161741484322,6.7353936386194455,4.578050981276788,2.058143469433792,1.9999436047823145,1.1381682833295736,0.25219941348973607,0.23962327994586058,0.29224001804646965,0.026054590570719603,0.023911572298669075
E16a,missing,8849,0.6195010665342328,0.6102405328079191,11.186913775567861,6.733642219459826,0.013221832975477455,6.6686631257769236,5.764945191547067,0.04621991185444683,0.15346189984540334,0.3313042572251413,0.604789947016559,0.7679997461069736,8.41157192903153,5.192225110181941,4.501412588993107,2.1079217990733414,1.1769691490563905,1.008136512600294,0.5364447960221495,0.24895468414510113,0.21143632048819075,0.13097525144084077,0.05051418239349079,0.04395976946547633
E16a,present,17737,0.8579372872076074,0.8463575186233829,24.231098832948074,9.289564187855895,0.00011275864013080002,9.276484185600722,8.98026723797711,0.0006201725207194001,0.03552322329176008,0.543473240387392,0.8444400715038414,0.7517369768709609,18.23498900603259,6.967356373682134,6.746631335626092,4.567063201217794,2.025652590629757,1.9646501663189941,1.1392005412414725,0.25624400969724304,0.24406607656311666,0.28984608445622145,0.027231211591588204,0.024919659468906806
E21a,missing,8889,0.6201602603348775,0.6110332943712824,11.41196985037687,6.776015299808752,0.013162335470806615,6.7115536055799305,5.819439757003037,0.045336933288333894,0.15155825784679403,0.3336559408602237,0.6058194202593402,0.7714201159434485,8.586342670716617,5.25177185285184,4.572842839464506,2.146585667679154,1.1658229272134097,0.9952750590617617,0.5474181572730341,0.24479694003824953,0.20857239284508944,0.13162335470806616,0.04916188547643154,0.042749465631679605
E21a,present,17697,0.8578633228796326,0.8470532943156707,24.147539130926145,9.274057749901113,0.00011301350511386111,9.260044075266995,8.959089111148783,0.00045205402045544443,0.036222769412936125,0.5446277754829348,0.8440474293280689,0.7531659862960388,18.16940724416568,6.969147313103916,6.7440809176696614,4.55320110753235,2.0167259987568515,1.9564332937786066,1.135051138611064,0.24619992089054643,0.23309035429733854,0.28987964061705374,0.027970842515680622,0.02548454540317568
