pattern_E10a_E16a_E21a,n,best_raw_iou,best_raw_iou_P2,in_gt_total,tal_preconflict_total,tal_final_total,zero_final_positive,conflict_loss_fraction,target_weight_mean,tal_final_P2
PPP,15371,0.8674491617149277,0.85698858819789,25.333485134343896,9.42027194066749,9.175785570229653,0.00019517272786415978,0.028572590389441398,0.5627863624160804,6.818099017630603
MMM,6631,0.5884374044998489,0.5794806021361613,9.641532197255316,6.179158497964108,5.218519077062283,0.06122756748605037,0.17451743393571648,0.31875133068372424,4.065148544714221
PPM,859,0.7989172256173299,0.7828095216343095,18.37485448195576,8.578579743888243,8.047729918509896,0.0011641443538998836,0.0661488072139993,0.40474718101409485,6.481955762514552
PMP,826,0.7997013994336994,0.7840405948297741,17.901937046004843,8.446731234866828,7.883777239709443,0.002421307506053269,0.0716974506974507,0.40439179579465134,6.13680387409201
MPP,784,0.7167274582351805,0.709092496371619,17.40688775510204,8.441326530612244,7.807397959183674,0.0012755102040816326,0.0794936426951733,0.3904366875139462,6.0854591836734695
MPM,723,0.6972306580134612,0.6878233408944405,15.152143845089903,7.948824343015215,7.1521438450899035,0.005532503457814661,0.10332574858198128,0.3542795518363964,5.608575380359612
MMP,716,0.6905636554739994,0.6816440943066634,13.273743016759777,7.670391061452514,6.745810055865922,0.008379888268156424,0.12170956371375365,0.361724089495313,5.301675977653631
PMM,676,0.7856567726861796,0.7668892597922912,15.930473372781066,8.198224852071005,7.547337278106509,0.005917159763313609,0.08479188712522046,0.372189591904836,5.908284023668639
