model,iou,category_id,class,AP_large
A,0.65,1,pedestrian,0.9305742528541759
A,0.65,2,people,0.2524752475247525
A,0.65,3,bicycle,0.5544554455445545
A,0.65,4,car,0.9485241993693717
A,0.65,5,van,0.5236703812303194
A,0.65,6,truck,0.7632195704095225
A,0.65,7,tricycle,0.6874400077370375
A,0.65,8,awning-tricycle,0.15816197004315816
A,0.65,9,bus,0.8941084841242745
A,0.65,10,motor,0.2722772277227723
A,0.7,1,pedestrian,0.9305742528541759
A,0.7,2,people,0.2524752475247525
A,0.7,3,bicycle,0.1122112211221122
A,0.7,4,car,0.9388584228065158
A,0.7,5,van,0.5061378221395265
A,0.7,6,truck,0.7451971854223116
A,0.7,7,tricycle,0.6874400077370375
A,0.7,8,awning-tricycle,0.13531353135313529
A,0.7,9,bus,0.8941084841242745
A,0.7,10,motor,0.2722772277227723
A,0.75,1,pedestrian,0.912026517862891
A,0.75,2,people,0.18253968253968253
A,0.75,3,bicycle,0.1122112211221122
A,0.75,4,car,0.9208095259584993
A,0.75,5,van,0.5061378221395265
A,0.75,6,truck,0.7037176962955828
A,0.75,7,tricycle,0.5541640977284542
A,0.75,8,awning-tricycle,0.13531353135313529
A,0.75,9,bus,0.8941084841242745
A,0.75,10,motor,0.1297029702970297
A,0.8,1,pedestrian,0.869729385280744
A,0.8,2,people,0.1605374823196605
A,0.8,3,bicycle,0.1122112211221122
A,0.8,4,car,0.8983604182044131
A,0.8,5,van,0.5002498867650422
A,0.8,6,truck,0.668394036194484
A,0.8,7,tricycle,0.5059405940594058
A,0.8,8,awning-tricycle,0.13531353135313529
A,0.8,9,bus,0.8941084841242745
A,0.8,10,motor,0.1297029702970297
A,0.85,1,pedestrian,0.759836418424451
A,0.85,2,people,0.15346534653465346
A,0.85,3,bicycle,0.1122112211221122
A,0.85,4,car,0.8569572954176243
A,0.85,5,van,0.47040580797987114
A,0.85,6,truck,0.5620344458606104
A,0.85,7,tricycle,0.21510172995321508
A,0.85,8,awning-tricycle,0.13531353135313529
A,0.85,9,bus,0.8549846363946739
A,0.85,10,motor,0.07425742574257425
A,0.9,1,pedestrian,0.490865977354038
A,0.9,2,people,0.10396039603960396
A,0.9,3,bicycle,0.0
A,0.9,4,car,0.738650855179305
A,0.9,5,van,0.42753410716180623
A,0.9,6,truck,0.34247255470998883
A,0.9,7,tricycle,0.0494085122797994
A,0.9,8,awning-tricycle,0.13531353135313529
A,0.9,9,bus,0.7653135572177908
A,0.9,10,motor,0.07425742574257425
A,0.95,1,pedestrian,0.12871287128712872
A,0.95,2,people,0.10396039603960396
A,0.95,3,bicycle,0.0
A,0.95,4,car,0.33947605183682167
A,0.95,5,van,0.2776249521246756
A,0.95,6,truck,0.08755395663405348
A,0.95,7,tricycle,0.0
A,0.95,8,awning-tricycle,0.0
A,0.95,9,bus,0.15593059305930593
A,0.95,10,motor,0.0
