model,pred_scale,fp_count,score_mean,score_median,score_p90,reason_duplicate_same_class,reason_wrong_class_near_gt,reason_same_class_localization_below_threshold,reason_no_same_class_overlap
REF,small,176099,0.05375345611817019,0.018627075478434563,0.14274539649486562,16119,14724,32761,112495
REF,medium,33258,0.06554750184270497,0.01275553647428751,0.17976728081703183,3513,4077,7296,18372
REF,large,1532,0.0793176965312163,0.00570425670593977,0.270148548483849,106,216,296,914
A,small,177539,0.05394325262510162,0.017947955057024956,0.14520667195320153,15900,14791,33150,113698
A,medium,31310,0.06885620312178814,0.012837328482419252,0.19617227315902755,3101,3736,6897,17576
A,large,1280,0.0905100543476692,0.006898549385368824,0.35779835879802724,97,181,212,790
