iou,scale,REF_AP,A_AP,A_minus_REF_AP_pp,REF_AR,A_AR,A_minus_REF_AR_pp
0.5,large,0.7002824121299764,0.6453307500508536,-5.495166207912283,0.8687515928790603,0.8046258324280918,-6.412576045096852
0.5,medium,0.6273190242016005,0.6325583985511151,0.5239374349514603,0.7977420701544594,0.7937061123948485,-0.4035957759610964
0.5,small,0.42481018927338887,0.43174690870295584,0.6936719429566973,0.634053477728242,0.642874745281725,0.8821267553482892
0.55,large,0.6992237597929248,0.6392878642062179,-5.993589558670697,0.8687515928790603,0.8033480374359858,-6.540355544307452
0.55,medium,0.6196103998307965,0.6223630467536279,0.2752646922831392,0.7888240734698287,0.7816938176614017,-0.7130255808427077
0.55,small,0.40741843820470847,0.4141275576406015,0.670911943589303,0.6085015702712001,0.6179154188074432,0.9413848536243052
0.6,large,0.6942395677583106,0.6210885591497295,-7.315100860858115,0.8579910392662645,0.7722210188803452,-8.57700203859193
0.6,medium,0.6026273143148084,0.6054241844310608,0.27968701162524034,0.7741882262760695,0.7640228326938298,-1.016539358223978
0.6,small,0.3799139210151614,0.3851052991190293,0.5191378103867883,0.574089061959157,0.5829091442737808,0.8820082314623834
0.65,large,0.6855323336783167,0.5984906786559939,-8.704165502232275,0.83287299495081,0.7720926491755955,-6.078034577521452
0.65,medium,0.575495584880824,0.5796711019311451,0.41755170503211536,0.7453124962253561,0.7390557377212044,-0.6256758504151749
0.65,small,0.3393780401715257,0.34538167779622697,0.6003637624701297,0.5254351442657951,0.5323700009727893,0.693485670699423
0.7,large,0.6814277710308821,0.5474593402806613,-13.39684307502208,0.8156697022271002,0.7138227468995193,-10.184695532758091
0.7,medium,0.5363779422218652,0.5394206667192133,0.3042724497348104,0.7042550787559432,0.6998504516683852,-0.4404627087557955
0.7,small,0.28697757401355317,0.29307811694905844,0.6100542935505271,0.4596688897453526,0.46521397113733665,0.5545081391984064
0.75,large,0.6372742980257028,0.5050731549421188,-13.220114308358399,0.7690670985225341,0.6759447649295652,-9.312233359296885
0.75,medium,0.4783151207284588,0.4827436431399492,0.4428522411490443,0.6397044084411839,0.631202589263326,-0.8501819177857972
0.75,small,0.21872128210023883,0.22077116097836919,0.20498788781303512,0.3701384931995183,0.37228797286379256,0.21494796642742564
0.8,large,0.5616542923119447,0.4874548009720302,-7.419949133991455,0.6748320200229061,0.620096812782404,-5.473520724050207
0.8,medium,0.39496925582123105,0.3929717495375397,-0.19975062836913304,0.5426567592226339,0.5326889041914693,-0.9967855031164596
0.8,small,0.13938305708271673,0.14343172229775358,0.40486652150368563,0.2580277352659472,0.2636270779983236,0.5599342732376389
0.85,large,0.49448987332133004,0.41945678587829216,-7.503308744303788,0.6138153972825617,0.5588552988772439,-5.496009840531779
0.85,medium,0.2712156664565822,0.27608595393202356,0.48702874754413816,0.40015547213973085,0.39676417216648685,-0.33912999732439997
0.85,small,0.07319143198114487,0.06784857572976687,-0.5342856251378009,0.14775790484602985,0.1498536226265894,0.20957177805595584
0.9,large,0.39434080020335,0.31277769170380415,-8.156310849954584,0.5056702920889637,0.4238773938952035,-8.179289819376024
0.9,medium,0.12642046881656133,0.13614133039539641,0.9720861578835088,0.22892109216417222,0.23305797296673,0.41368808025577797
0.9,small,0.018499821495937416,0.013906071385379942,-0.45937501105574735,0.055580378233552344,0.050321972605394935,-0.5258405628157409
0.95,large,0.1150325124936768,0.10932588209815894,-0.5706630395517859,0.20633455479073226,0.1975826131382319,-0.8751941652500372
0.95,medium,0.01613453895286361,0.016485457888275427,0.03509189354118161,0.05442674453817955,0.049718313367366644,-0.47084311708129045
0.95,small,0.000877107291766824,0.0009691103062688614,0.009200301450203738,0.005822102569745496,0.005358922337753953,-0.04631802319915428
