mode,class,AP50_95,AP50,AP75,AP_small,AP_medium,AP_large
B0_E10a_full,pedestrian,0.3234470663925959,0.6372708102940201,0.27802589634275904,0.29075168037135934,0.5176934005597511,0.7213400670546232
B0_E10a_full,people,0.2225520535917713,0.5111437776867739,0.15001298307613536,0.21203472864208395,0.3228939673010009,0.38595167209028586
B0_E10a_full,bicycle,0.1559561449082516,0.30747293161943623,0.13133713283790263,0.11643719360753996,0.3226248806569857,0.36534653465346534
B0_E10a_full,car,0.6276221528349248,0.8651733378050055,0.7115041345610432,0.47673615863891494,0.7417714198986955,0.85061245581636
B0_E10a_full,van,0.3442322724392611,0.4670582087411108,0.3941496673447116,0.19551589330525268,0.48622037227083337,0.4511731182226886
B0_E10a_full,truck,0.3132354938353304,0.44839413768235326,0.3433615925375753,0.14742907738883038,0.35492327629273474,0.6428718287397978
B0_E10a_full,tricycle,0.2283537305407377,0.3801607984153748,0.24881148231461755,0.17890403012205178,0.300374407320496,0.5685208878030661
B0_E10a_full,awning-tricycle,0.12137337626123987,0.18549623162473444,0.13497953323935225,0.09614137670257374,0.1562536234158622,0.31145685997171146
B0_E10a_full,bus,0.503667636977487,0.6556029254800292,0.5985572083885411,0.2954506976409645,0.611976684513555,0.8423808120559829
B0_E10a_full,motor,0.3095542830843135,0.6200796421535669,0.2711639110971981,0.2797700262105709,0.4337532839956772,0.5238433843384339
B1_historical_E1_route_no_DCRV,pedestrian,0.3516474680782576,0.6931820096694727,0.29943756645640945,0.324674093420244,0.5107480520591876,0.6950130377739546
B1_historical_E1_route_no_DCRV,people,0.23514210328086474,0.5514404631624531,0.1531843295852306,0.2293947950943037,0.3115027340392427,0.37812781278127805
B1_historical_E1_route_no_DCRV,bicycle,0.18458474716448797,0.3726758476404717,0.15678555708588648,0.14828132884941195,0.33837612232984526,0.36534653465346534
B1_historical_E1_route_no_DCRV,car,0.643840456771897,0.8883713975956304,0.7278473437901134,0.5034789907940873,0.7479040467729914,0.8489773138646579
B1_historical_E1_route_no_DCRV,van,0.3852943060341654,0.5231217664070442,0.4480014944368983,0.25452971894316456,0.5149545155460149,0.45317836496688696
B1_historical_E1_route_no_DCRV,truck,0.34495715648321956,0.49947881178772097,0.37073768446673067,0.19177778147142896,0.39220358241483266,0.6123807939580365
B1_historical_E1_route_no_DCRV,tricycle,0.2535824581632544,0.42542381046343264,0.2650229310531193,0.20814571807971538,0.3156541921079027,0.5678260814803285
B1_historical_E1_route_no_DCRV,awning-tricycle,0.1459665112196104,0.22677200242428547,0.15675490569739145,0.12194268429499258,0.17820933640958822,0.29099009900990097
B1_historical_E1_route_no_DCRV,bus,0.5434446417305807,0.7267955444227268,0.624578896732435,0.3644788100856692,0.6201138191852495,0.8420267095932935
B1_historical_E1_route_no_DCRV,motor,0.33030543236128745,0.6644396092603675,0.28749412715231043,0.3040188894723208,0.43793106355557315,0.5303960396039604
B1_self_route_E10a_route_no_DCRV,pedestrian,0.35124809391728395,0.6921076979996446,0.29940093767214393,0.3242877941245923,0.5109811581869844,0.6950130377739546
B1_self_route_E10a_route_no_DCRV,people,0.23517722252693418,0.5507422409339754,0.15438311822462672,0.22956996727957474,0.3087092618458192,0.3786228622862285
B1_self_route_E10a_route_no_DCRV,bicycle,0.18319162543787668,0.3705541667226687,0.15490287041268833,0.14856382023294448,0.33046689435851095,0.36534653465346534
B1_self_route_E10a_route_no_DCRV,car,0.64372610725071,0.8878138617815092,0.7277027513157418,0.503042145833339,0.7492577649096436,0.8492087072923546
B1_self_route_E10a_route_no_DCRV,van,0.3842126120500025,0.5217203698297709,0.44632310320375,0.255063398467734,0.511567393489836,0.4583162001515532
B1_self_route_E10a_route_no_DCRV,truck,0.34386666517923753,0.4986901765910468,0.3701638387902186,0.18971955078351174,0.39180469065601997,0.6080121852013224
B1_self_route_E10a_route_no_DCRV,tricycle,0.2531971853336845,0.4234039569635253,0.26593182128317605,0.20845952195025083,0.31439257579526125,0.5665545946615684
B1_self_route_E10a_route_no_DCRV,awning-tricycle,0.1463684517807865,0.22734205751471873,0.15697673943500495,0.12124551534319514,0.17928922496060973,0.2953589108910891
B1_self_route_E10a_route_no_DCRV,bus,0.541400311548989,0.7259458847715562,0.6207052768455914,0.3608008876550343,0.6179655752510885,0.8420267095932935
B1_self_route_E10a_route_no_DCRV,motor,0.33078638338559346,0.6654265454625389,0.2884209850862247,0.3037989731327381,0.4402398735148255,0.5303960396039604
D18a_E10a_route_DCRV,pedestrian,0.34813591384836184,0.684292336845903,0.2978360224141232,0.3208849273445327,0.5112047483742479,0.6950130377739546
D18a_E10a_route_DCRV,people,0.23129977046129618,0.5399403886580287,0.15290589318068834,0.22548610001080394,0.3083447932312987,0.3786228622862285
D18a_E10a_route_DCRV,bicycle,0.1813965360460162,0.36588640566734987,0.15384154038487693,0.1464288328203583,0.33097457556311777,0.36534653465346534
D18a_E10a_route_DCRV,car,0.6432685345532996,0.8870992662659337,0.7271489307137624,0.5018551804464784,0.7489045199099079,0.8492087072923546
D18a_E10a_route_DCRV,van,0.38234960280212965,0.5200738519306128,0.44364931676456554,0.2503701264564946,0.5096876045757651,0.4583162001515532
D18a_E10a_route_DCRV,truck,0.34695825285885645,0.5044523834826358,0.3731692011502534,0.1873284727635177,0.39880018434432524,0.6080121852013224
D18a_E10a_route_DCRV,tricycle,0.25383748281463775,0.42440481062595486,0.26708675657739145,0.2078229249689579,0.31634100074005395,0.5665545946615684
D18a_E10a_route_DCRV,awning-tricycle,0.14473897880861625,0.22497880401905107,0.15499321308588124,0.11890564140451398,0.17827696863152082,0.2953589108910891
D18a_E10a_route_DCRV,bus,0.5406628950972766,0.7258605597511906,0.6203414379547196,0.3575032707259566,0.6197006132134769,0.8420267095932935
D18a_E10a_route_DCRV,motor,0.32789147216729514,0.6591758604597875,0.2861458747197327,0.30036793169402504,0.4391416342641174,0.5303960396039604
