mode,mAP50_95,mAP50,mAP75,AP_small,AR_small,AP_medium,AR_medium,AP_large,AR_large,Precision,Recall,TP,FP,FN,prediction_count
B0_E10a_full,0.31499942108659135,0.5077852801502406,0.3261903541739836,0.22891708626301424,0.363907475808454,0.4248485316225591,0.5676186421387558,0.5663497620746415,0.7013756284909993,0.7008149647213259,0.6611625686937227,25626,10940,13133,243002
B1_historical_E1_route_no_DCRV,0.3418765281287625,0.5571701262833605,0.34898448364565254,0.2650722810505339,0.4260985961098486,0.43675974644204285,0.582697681091973,0.5584262787685762,0.6981483987169261,0.6503293385783552,0.7336360587218452,28435,15289,10324,251024
B1_self_route_E10a_route_no_DCRV,0.3413174658411099,0.5563746958570954,0.3484911442269167,0.26445515748029147,0.4260814389432986,0.43546744129685994,0.5822543463282915,0.5588855782108789,0.6980237139476293,0.650272348606216,0.7330684486183854,28413,15281,10346,251102
D18a_E10a_route_DCRV,0.34005394394577854,0.5536164667706448,0.34771181869459944,0.2616953408635639,0.4259711402615266,0.4361376642847832,0.5820855582756923,0.5588855782108789,0.6980237139476293,0.5632501948558067,0.7457880750277355,28906,22414,9853,251102
