intervention,mode,AP_all,AP_large,AP_medium,AP_small,AR_all,AR_large,AR_medium,AR_small,Precision,Recall,delta_AP_all,delta_AP_large,delta_AP_medium,delta_AP_small,delta_AR_all,delta_AR_large,delta_AR_medium,delta_AR_small,delta_Precision,delta_Recall,delta_mAP50,delta_mAP50_95,delta_mAP75,delta_max_det,mAP50,mAP50_95,mAP75,max_det
none; frozen full E10a,full,0.31499942108659135,0.5663497620746415,0.4248485316225591,0.22891708626301424,0.4501281156150888,0.7013756284909993,0.5676186421387558,0.363907475808454,0.6133680947840817,0.5168854107093871,,,,,,,,,,,,,,,0.54583722074581,0.3411289446225219,0.3556219092783082,500
DeepSemanticGuide bypassed; SemanticDetailGate bypassed,bypass_both,0.2962944219863866,0.5651760659300555,0.4117148246317273,0.2072324977811547,0.4370282928154281,0.6941949688208345,0.5711393276379362,0.3425288432270232,0.5932144420406906,0.4992384219940453,-0.018704999100204733,-0.0011736961445859562,-0.013133706990831773,-0.02168458848185953,-0.01309982279966071,-0.007180659670164791,0.003520685499180387,-0.0213786325814308,-0.020153652743391093,-0.017646988715341816,-0.02475044939648363,-0.015656429724830223,-0.01643144469454033,0.0,0.5210867713493263,0.3254725148976917,0.3391904645837679,500
SemanticDetailGate bypassed,deep_only,0.3027028898759275,0.5666939564738667,0.420003556215914,0.2127291061616555,0.4419785589948932,0.7035095615244827,0.5716256964442298,0.3498432134934402,0.591612680924473,0.5012191960646182,-0.01229653121066382,0.0003441943992251728,-0.00484497540664508,-0.016187980101358745,-0.00814955662019562,0.002133933033483415,0.004007054305473989,-0.014064262315013787,-0.021755413859608774,-0.015666214644768917,-0.02031729280073935,-0.012576751977999456,-0.013760776787024753,0.0,0.5255199279450706,0.32855219264452246,0.34186113249128347,500
DeepSemanticGuide bypassed; detail gate receives original P3,detail_only,0.30849380571997137,0.564669701608281,0.4180665032935816,0.22241124188303077,0.4446258688451554,0.6917162082011444,0.5663110883144732,0.35624364704242395,0.6139508820135778,0.5069248325963353,-0.006505615366619977,-0.001680060466360489,-0.006782028328977507,-0.006505844379983472,-0.005502246769933383,-0.009659420289854892,-0.0013075538242826035,-0.007663828766030056,0.0005827872294961178,-0.009960578113051843,-0.005412503968502236,-0.003941601938919348,-0.004503456832476382,0.0,0.5404247167773077,0.33718734268360256,0.35111845244583184,500
P5 descriptor removed; P4 projection/injection unchanged,no_p5_context,0.31501310156885576,0.5663499740131452,0.4248651860247721,0.2289172202629385,0.4500742340748792,0.7013756284909993,0.567670323082978,0.3637910373710783,0.614938562689423,0.5165631226998764,1.3680482264410987e-05,2.1193850374690015e-07,1.665440221298997e-05,1.339999242677692e-07,-5.388154020963265e-05,0.0,5.168094422225433e-05,-0.00011643843737568771,0.0015704679053413217,-0.00032228800951072945,-1.8320558353934757e-05,5.071481852081394e-06,-3.5450067338849145e-06,0.0,0.545818900187456,0.341134016104374,0.35561836427157434,500
P4 descriptor removed; P4 projection/injection unchanged,no_p4_context,0.31501625174851533,0.5663498346367691,0.4248382864655481,0.22895987147085012,0.45016554697225897,0.7013756284909993,0.5676514949001435,0.3639499862084235,0.6149436112552755,0.5165485259570882,1.6830661923983303e-05,7.256212763984138e-08,-1.024515701097961e-05,4.2785207835877026e-05,3.7431357170158996e-05,0.0,3.285276138775828e-05,4.251039996949757e-05,0.0015755164711938052,-0.0003368847522988716,-1.015525176351062e-05,-2.5553211861983893e-05,-6.562915695912386e-05,0.0,0.5458270654940465,0.34110339141065993,0.3555562801213491,500
learned channel gate replaced by neutral constant 0.5,fixed_channel_gate,0.3150108032493528,0.5663499740131452,0.424862947171795,0.22891815716682415,0.45010735060208945,0.7013756284909993,0.5676734603378801,0.3638306277352996,0.6149731112930923,0.5165631226998764,1.138216276147519e-05,2.1193850374690015e-07,1.4415549235924363e-05,1.0709038099077084e-06,-2.0765012999357513e-05,0.0,5.481819912434016e-05,-7.684807315438968e-05,0.0016050165090105706,-0.00032228800951072945,-1.3934540515125882e-05,6.162926880215469e-06,3.435498914183821e-06,0.0,0.5458232862052949,0.34113510754940213,0.3556253447772224,500
learned P3 spatial gate replaced by neutral constant 0.5,fixed_p3_spatial_gate,0.3131422093342655,0.5672169945469013,0.423068271431857,0.22738333022169596,0.44916000456722605,0.6976058567658222,0.5689596134827098,0.36244783986263807,0.6194430577798399,0.5117379452951849,-0.001857211752325838,0.0008672324722598379,-0.0017802601907020987,-0.0015337560413182794,-0.000968111047862763,-0.003769771725177118,0.001340971343954056,-0.0014596359458159403,0.00607496299575816,-0.00514746541420219,-0.0011849331398799956,-0.0005805361593441138,0.0004987059550956019,0.0,0.54465228760593,0.3405484084631778,0.3561206152334038,500
learned P2 spatial gate replaced by neutral constant 0.5,fixed_p2_spatial_gate,0.31295302939930353,0.5662723794910708,0.42368873437306087,0.22749859190859625,0.4497791812444278,0.7013756284909993,0.567893402997973,0.3631742466721139,0.6213486467785093,0.5091408008195727,-0.0020463916872878185,-7.738258357070649e-05,-0.0011597972494982178,-0.0014184943544179873,-0.00034893437066102484,0.0,0.0002747608592171824,-0.0007332291363401078,0.007980551994427598,-0.007744609889814402,-0.0029274801162765263,-0.0016235564785812562,-0.001970239524138939,0.0,0.5429097406295335,0.33950538814394066,0.3536516697541693,500
