class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6274311944480636,0.46867933061962913,0.5276940924506193,0.25520939037551427
people,5125,0.6045640459432661,0.39726829268292685,0.4352038484810744,0.18006314635829407
bicycle,1287,0.36390284321796695,0.2146994970920417,0.18583072304656154,0.08195767227275413
car,14064,0.7507979105308308,0.8200388866764285,0.8417344361367679,0.6021285351195587
van,1975,0.5431941725149022,0.4739240506329114,0.4825991438154358,0.343814313807352
truck,750,0.5914555598919565,0.3532424378996259,0.3928404216185005,0.2646007956499795
tricycle,1045,0.43978558889980685,0.32344497607655504,0.3149228119717615,0.1769266572646762
awning-tricycle,532,0.33570875335960976,0.18233082706766918,0.15785565347588612,0.09853728283391006
bus,251,0.7673304388638462,0.5255700067593072,0.6136744966957539,0.45282461580311006
motor,4886,0.5787899157964064,0.5212853049529267,0.534364503804589,0.24908472181494332
