mode,AP_all,AP50,AP75,AP_small,AP_medium,AP_large,AR_all,prediction_count,seconds
normal,0.31234510670363264,0.5050230794904721,0.3204772306023634,0.22762556562733333,0.4216869979362776,0.5191757012598904,0.4507083809663204,238182,30.956734586507082
identity,0.31127403773456247,0.505936236062734,0.32003945705574555,0.22783559243903143,0.42067317424554157,0.5190761768463138,0.4516758794375034,246383,14.507405254989862
p3_zero,0.3104079466970097,0.5012533569946825,0.318877420727288,0.22468390251041884,0.4217002250390787,0.5194131358640315,0.44912267967729297,236222,14.420454606413841
p3_shuffle,0.3088172462475961,0.4985413361072745,0.31778329228032737,0.22294928720112636,0.42021876598843755,0.5194953179952881,0.44839850131127923,236126,16.103985581547022
force3,0.3124647499969903,0.5060184923711465,0.3200399166645288,0.2283246023882456,0.42159459353568435,0.5191028954350576,0.4508091942070558,241960,14.795630052685738
force5,0.3126628171623738,0.5056770698079006,0.3208896008250626,0.2281674994065622,0.4219981540889408,0.5191761153318977,0.4513277570088011,239692,16.062543965876102
force7,0.31220688803107016,0.5049066845271708,0.3204938219251962,0.22736699865304874,0.42173818390723233,0.5191757012598904,0.4505558084516996,237723,15.993508726358414
