model,mode,mAP50_95,mAP50,mAP75,AR_all,AP_small,AR_small,AP_medium,AR_medium,AP_large,AR_large,Precision_conf025_iou05,Recall_conf025_iou05,prediction_count,prediction_seconds,forward_images
e1,full,0.3112897138616605,0.5061082628658905,0.31966252615521046,0.448873753893199,0.2263379898701116,0.3656655402438562,0.41899938246218577,0.5654620032054231,0.5069767637643231,0.6212172576374567,0.6959811259355678,0.6621687866044016,244200,13.41652501001954,548
e1,fixed_top1,0.3311817591722042,0.542650471618322,0.3371184766764701,0.4766625989236741,0.2543515380392935,0.41055990685215066,0.42601475042061426,0.5674880313929969,0.5042683328514848,0.6028910586369661,0.6692124915139172,0.7121184757088677,244014,18.433704341761768,1096
e1,fixed_top2,0.33761466925914,0.5519886997783836,0.34365720767710656,0.48831687393250534,0.26288266134673444,0.4241613844915488,0.4299650835554904,0.5754087675633031,0.5026420882410525,0.6036532077293006,0.6479934255581428,0.7323718362186847,251301,23.170655531808734,1644
e1,fixed_top4,0.34159680411329457,0.5572112201989994,0.348761721071066,0.49572958690845687,0.2644183187427659,0.4291383827082022,0.437174190980831,0.5880981990808067,0.5157673144443258,0.64802932747591,0.6333494144993641,0.7451688640057793,255814,32.08229796588421,2740
e1,adaptive_b0p50,0.3258150983397196,0.5335532842841916,0.3321792752858663,0.4653267886793577,0.2457349247360738,0.3935056585242242,0.42371748988874675,0.5627508211754609,0.5002390916978222,0.5992402575933288,0.6783150548354935,0.7021336979798241,205699,16.14210115512833,822
e1,adaptive_b0p75,0.3304847615442039,0.540933892764462,0.33705380467602203,0.47288306225145726,0.25180937850317636,0.40395300613070545,0.42609610262385805,0.5663100847094291,0.5002451278425493,0.5992274206228538,0.6689924170845749,0.7124538816790938,216572,17.566386981168762,959
e1,adaptive_b1p00,0.33261959808933234,0.5444002274179681,0.33900785245416437,0.47820520665336125,0.25603234643684053,0.41263815245245306,0.4262378015393128,0.5675034582657499,0.5003131316780361,0.5991299391966862,0.6606326264660585,0.7193684047576047,224859,18.630210048519075,1096
e1,adaptive_b1p25,0.3345643826387921,0.5471234657016267,0.3403782917786657,0.48240435255264735,0.25923238458136855,0.41740996051771906,0.42725310459367555,0.5703303106656743,0.4990188764235119,0.5991299391966862,0.6559059526030976,0.7255089140586702,232879,19.70906690484844,1233
e1,adaptive_b1p50,0.3357392500519356,0.5497073124080555,0.34128798200068305,0.48521040444375485,0.26055854342135143,0.4200591957451244,0.4285642728104402,0.5732923068190037,0.4987508572420669,0.5998960259864108,0.6514456859808778,0.7295337857013855,238773,20.937968351412565,1370
e1,adaptive_b1p75,0.33730508491128974,0.5515928360694227,0.34335655523238806,0.4879425701956135,0.26278725087668076,0.42405576382975263,0.4294375790826385,0.5746770012995641,0.4993763427526999,0.6007679032698486,0.6491095545483679,0.7316236229004877,245308,22.089533851714805,1507
