model,density_bin,n,zero_in_gt_rate,zero_final_positive_rate,final_positive_mean,final_positive_median,conflict_loss_fraction_mean,p2_final_share_mean,target_weight_mean
E10a,dense,6714,0.01236222817992255,0.056896038129282095,5.296693476318141,5.0,0.23642887114563851,0.757242120464641,0.4185342239503041
E10a,middle,14232,0.002318718381112985,0.002880831928049466,8.508080382237212,10.0,0.028555687523136263,0.7809961356927745,0.46096615965028515
E10a,sparse,5640,0.0005319148936170213,0.0007092198581560284,9.511524822695035,10.0,0.0,0.68777015951874,0.5658737984219983
E16a,dense,6714,0.01236222817992255,0.055704498063747394,5.304289544235925,5.0,0.23491176463537136,0.7577117169546193,0.41976479123625937
E16a,middle,14232,0.002318718381112985,0.003021360314783586,8.504567172568859,10.0,0.029053188134490093,0.7818154283285723,0.46287755112023565
E16a,sparse,5640,0.0005319148936170213,0.0005319148936170213,9.511879432624113,10.0,0.0,0.6936555102201722,0.5678084514465488
E21a,dense,6714,0.01236222817992255,0.05421507298182902,5.296991361334525,5.0,0.23531835906137585,0.7577800574316322,0.4234261479936743
E21a,middle,14232,0.002318718381112985,0.003021360314783586,8.506815626756605,10.0,0.028871046563381353,0.7836922239787135,0.46345293820576855
E21a,sparse,5640,0.0005319148936170213,0.0007092198581560284,9.511524822695035,10.0,0.0,0.6986004089357531,0.5678912801092995
