model,iou,n_small_gt,raw_geometry_rate,raw_gtclass_above_conf_rate,raw_correct_argmax_rate,nms1000_sameclass_rate,top500_sameclass_rate,raw_geometry_P2_rate,raw_correct_P2_rate,raw_geometry_P3_rate,raw_correct_P3_rate,raw_geometry_P4_rate,raw_correct_P4_rate,raw_geometry_P5_rate,raw_correct_P5_rate
E10a,0.5,26586,0.9491837809373355,0.9316181448882871,0.8438651922064244,0.8226510193334838,0.7948920484465508,0.942262845106447,0.8219739712630708,0.7845858722635973,0.6396599714135259,0.5042879711126157,0.2194011885955014,0.055405100428797115,0.021176559091251036
E10a,0.55,26586,0.922440382156022,0.9040848566914917,0.8170465658617317,0.7889114571579027,0.7626946513202437,0.912773640261792,0.794102159031069,0.7319265778981419,0.6022342586323629,0.4473783194162341,0.1956668923493568,0.037726623034679906,0.01579778830963665
E10a,0.6,26586,0.8852779658466863,0.8657187993680885,0.781238245693222,0.7434740088768524,0.7183103889265027,0.8725645076355977,0.7578048597005943,0.6670428044835628,0.5542766869781087,0.39005491612126686,0.16907394869480177,0.02448657187993681,0.0108703829082976
E10a,0.65,26586,0.8332581057699541,0.8120439328970135,0.7325283984051757,0.6799443316030994,0.6553073045964041,0.8158429248476642,0.7073271646731363,0.5939592266606485,0.4977055593169337,0.3334837884600918,0.14323328067403895,0.01436846460543143,0.00665763935906116
E10a,0.7,26586,0.7638982923343113,0.7412547957571655,0.6693748589483187,0.5885052283156549,0.5682690137666441,0.7405777476867524,0.640713157300835,0.5121492514857444,0.43056495900097796,0.2740540133905063,0.11438351011810727,0.007071390957646882,0.003686150605581885
E10a,0.75,26586,0.6669675769201836,0.6415406604980065,0.57737154893553,0.46219814940194087,0.4474159331979237,0.6372903031670805,0.5470172271120138,0.4154442187617543,0.35093658316407134,0.21033626720830512,0.08414202963965997,0.0031971714436169413,0.0018054615211013315
E10a,0.8,26586,0.5329496727600993,0.5037613781689612,0.4545625517189498,0.31497780786880314,0.3064394794252614,0.49819453847889866,0.42262845106447,0.3054239073196419,0.25772963213721506,0.1480854585119988,0.05574362446400361,0.0016173926126532762,0.0008651169788610547
E10a,0.85,26586,0.3678627849243963,0.33401038140374634,0.3020386669675769,0.16692996313849395,0.16429699842022116,0.3331452644248853,0.2723613932144738,0.18912209433536448,0.1559467388851275,0.08534567065372753,0.029000225682690138,0.0004889791619649439,0.00022568269013766644
E10a,0.9,26586,0.18122320018054616,0.15147069886406378,0.13777928232904535,0.05784999623862183,0.05717294816820883,0.15703753855412622,0.11867148123072294,0.08196043030166253,0.06480854585119988,0.03279921763334086,0.009177762732265102,0.00011284134506883322,7.522756337922214e-05
E10a,0.95,26586,0.03637252689385391,0.02689385390807192,0.024599413225005643,0.006695253140750771,0.00665763935906116,0.029263522154517416,0.019709621605356203,0.012450161739261265,0.009516286767471602,0.0038366057323403293,0.0009027307605506658,0.0,0.0
