model,all_small,n,zero_in_gt_rate,zero_final_positive_rate,final_positive_mean,final_positive_median,conflict_loss_fraction_mean,p2_final_share_mean,target_weight_mean
E10a,all,26586,0.004476040021063717,0.016061084781463928,7.909952606635071,10.0,0.0744999810956936,0.7551605905212694,0.4732976874328875
E16a,all,26586,0.004476040021063717,0.01579778830963665,7.9100654479801396,10.0,0.07438877007529661,0.7569826304806813,0.47503686425464736
E21a,all,26586,0.004476040021063717,0.01545926427443015,7.909350786128037,10.0,0.07440778463630315,0.7590840204579459,0.4762301827949377
