model,class,n,zero_in_gt_rate,zero_final_positive_rate,final_positive_mean,final_positive_median,conflict_loss_fraction_mean,p2_final_share_mean,target_weight_mean
E10a,awning-tricycle,305,0.0,0.0,9.045901639344262,10.0,0.0239240176945095,0.6036651053864168,0.4137102679639566
E10a,bicycle,1053,0.001899335232668566,0.017094017094017096,7.849952516619183,10.0,0.12317876039304611,0.7178418066099226,0.3908987424439854
E10a,bus,116,0.0,0.0,8.887931034482758,10.0,0.0020935960591133003,0.6356732348111659,0.41404019591623337
E10a,car,6910,0.0027496382054992764,0.005788712011577424,8.263241678726484,10.0,0.036304801068952015,0.7336639844063425,0.5666828290701693
E10a,motor,3978,0.004524886877828055,0.010306686777275012,8.067621920563097,10.0,0.08010300019645814,0.67842369227307,0.4566409495439466
E10a,pedestrian,7746,0.007100438936225148,0.013942680092951201,7.729150529305448,10.0,0.053767463831933746,0.7892776802929985,0.44189198465008356
E10a,people,4631,0.005182465990066941,0.046426257827683004,7.102569639386742,9.0,0.17421048549713045,0.858697269668737,0.4235189212017184
E10a,tricycle,621,0.0,0.00322061191626409,8.96135265700483,10.0,0.023748817830943434,0.5535799956640022,0.424453427580107
E10a,truck,289,0.0,0.0,9.04152249134948,10.0,0.020577250508046353,0.6830216400285605,0.43060685390007125
E10a,van,937,0.0010672358591248667,0.0032017075773745998,8.65101387406617,10.0,0.03263252950752951,0.7297951602287791,0.5125103547881962
E16a,awning-tricycle,305,0.0,0.0,9.042622950819672,10.0,0.02472027062190997,0.5995540888983512,0.4151192547356496
E16a,bicycle,1053,0.001899335232668566,0.017094017094017096,7.8338081671415,10.0,0.12573550511228912,0.7217232713609526,0.392344286717876
E16a,bus,116,0.0,0.0,8.89655172413793,10.0,0.002955665024630542,0.6543992884510125,0.42213046454407016
E16a,car,6910,0.0027496382054992764,0.005643994211287988,8.259479015918958,10.0,0.03638397537366909,0.736410296070462,0.5688941526473253
E16a,motor,3978,0.004524886877828055,0.010558069381598794,8.06711915535445,10.0,0.08078769690919224,0.6775634003530345,0.45742476732982135
E16a,pedestrian,7746,0.007100438936225148,0.013038987864704364,7.730828814872192,10.0,0.05338417658730159,0.7900585458433727,0.44443542283327325
E16a,people,4631,0.005182465990066941,0.045778449578924636,7.112502699201037,9.0,0.1722668500024123,0.8601206925884455,0.4243844736807078
E16a,tricycle,621,0.0,0.004830917874396135,8.97584541062802,10.0,0.022855481430360657,0.5653973274118905,0.4256469186479798
E16a,truck,289,0.0,0.0,9.024221453287197,10.0,0.02224144559784698,0.6869610589333772,0.42931410208808507
E16a,van,937,0.0010672358591248667,0.005336179295624333,8.635005336179296,10.0,0.035406915615248946,0.7359084793365909,0.5136038323168847
E21a,awning-tricycle,305,0.0,0.0,9.036065573770491,10.0,0.025204267499349464,0.6184842570908146,0.4099852696549697
E21a,bicycle,1053,0.001899335232668566,0.016144349477682812,7.851851851851852,10.0,0.12221089514143747,0.7240538311966884,0.39581853101519027
E21a,bus,116,0.0,0.0,8.870689655172415,10.0,0.002955665024630542,0.6498255336617407,0.41961137786636066
E21a,car,6910,0.0027496382054992764,0.005499276410998553,8.25643994211288,10.0,0.036305117198570526,0.737619999890809,0.5689755986121834
E21a,motor,3978,0.004524886877828055,0.010809451985922574,8.085972850678733,10.0,0.07817821158942655,0.6811926838515148,0.460400970610571
E21a,pedestrian,7746,0.007100438936225148,0.012780790085205267,7.730957913761942,10.0,0.05388575850369654,0.7916066076521158,0.4450516608682015
E21a,people,4631,0.005182465990066941,0.04491470524724681,7.091556899157849,9.0,0.1753218551264154,0.8607595528294149,0.4252892679707149
E21a,tricycle,621,0.0,0.00322061191626409,8.987117552334944,10.0,0.019523681721749356,0.5794996468259797,0.43231112613479616
E21a,truck,289,0.0,0.0,9.013840830449826,10.0,0.02290465205690119,0.6881529082221124,0.43027219434097974
E21a,van,937,0.0010672358591248667,0.004268943436499467,8.64034151547492,10.0,0.034370336453669784,0.7366853731001641,0.5182687484430666
