model,iou,all_small,n,top500_survival_rate,failed,raw_geometry_missing,raw_geometry_missing_rate_all,raw_geometry_missing_share_failed,confidence_floor,confidence_floor_rate_all,confidence_floor_share_failed,class_argmax_confusion,class_argmax_confusion_rate_all,class_argmax_confusion_share_failed,nms_suppression,nms_suppression_rate_all,nms_suppression_share_failed,rank_budget_501_1000,rank_budget_501_1000_rate_all,rank_budget_501_1000_share_failed,survives_top500,survives_top500_rate_all,survives_top500_share_failed,class_selection_share_failed
E10a,0.5,all,26586,0.7948920484465508,5453,1351,0.05081621906266456,0.24775353016688062,467,0.017565636049048372,0.08564093159728589,2333,0.08775295268186263,0.4278378874014304,564,0.021214172872940647,0.10342930496974143,738,0.027758970886932972,0.13533834586466165,21133,0.7948920484465508,3.8754813863928113,0.5134788189987163
E10a,0.75,all,26586,0.4474159331979237,14691,8854,0.33303242307981645,0.6026819140970663,676,0.025426916422177086,0.04601456674154244,1706,0.0641691115624765,0.11612551902525356,3062,0.11517339953358911,0.20842692805118782,393,0.014782216204017151,0.026751072084949968,11895,0.4474159331979237,0.8096793955482948,0.162140085766796
E16a,0.5,all,26586,0.7960956894606184,5421,1336,0.05025201233732039,0.2464489946504335,511,0.019220642443391257,0.09426305109758347,2323,0.08737681486496653,0.4285187234827523,543,0.020424283457458812,0.10016602102933038,708,0.02663055743624464,0.1306032097399004,21165,0.7960956894606184,3.9042612064194797,0.5227817745803357
E16a,0.75,all,26586,0.45155344918378093,14581,8849,0.3328443541713684,0.6068856731362733,731,0.027495674415105694,0.050133735683423636,1676,0.06304069811178815,0.1149441053425691,2958,0.11126156623786955,0.20286674439338864,367,0.013804257880087264,0.025169741444345382,12005,0.45155344918378093,0.8233317330772923,0.16507784102599274
E21a,0.5,all,26586,0.7975626269465133,5382,1301,0.048935529978184004,0.24173169825343738,493,0.01854359437297826,0.09160163507989595,2369,0.08910704882268863,0.44017094017094016,549,0.02064996614759648,0.1020066889632107,670,0.02520123373203942,0.12448903753251579,21204,0.7975626269465133,3.939799331103679,0.5317725752508361
E21a,0.75,all,26586,0.45057549085985105,14607,8889,0.33434890543895285,0.6085438488395974,720,0.027081922816519974,0.04929143561306223,1617,0.060821484992101105,0.11070034914766892,3005,0.11302941397728128,0.20572328335729445,376,0.014142781915293764,0.025741083042376944,11979,0.45057549085985105,0.8200862600123229,0.15999178476073114
