model,raw075_group,n,zero_in_gt_rate,zero_final_positive_rate,final_positive_mean,final_positive_median,conflict_loss_fraction_mean,p2_final_share_mean,target_weight_mean
E10a,raw075_missing,8854,0.013101423085611023,0.04709735712672238,5.7291619606957305,5.0,0.15574341051405274,0.7679451732995647,0.33204812861700184
E10a,raw075_present,17732,0.0001691856530566208,0.0005639521768554027,8.99887209564629,10.0,0.034540439975038646,0.7490741711046982,0.5405430619803216
E16a,raw075_missing,8849,0.013221832975477455,0.04621991185444683,5.764945191547067,6.0,0.15346189984540334,0.7679997461069736,0.33130425722514134
E16a,raw075_present,17737,0.00011275864013080002,0.0006201725207194001,8.98026723797711,10.0,0.03552322329176009,0.751736976870961,0.543473240387392
E21a,raw075_missing,8889,0.013162335470806615,0.045336933288333894,5.819439757003037,6.0,0.15155825784679403,0.7714201159434484,0.33365594086022377
E21a,raw075_present,17697,0.00011301350511386111,0.00045205402045544443,8.959089111148783,10.0,0.03622276941293613,0.7531659862960389,0.5446277754829348
