                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3436,                0.99587,                 1.0393,                0.59462,                0.49043,                0.51494,                0.31864,                 1.3256,                 1.0076,                 1.0601,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.3454,                0.99698,                 1.0422,                0.58872,                0.49302,                0.51517,                0.31958,                 1.3231,                 1.0129,                 1.0614,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.3399,                 0.9913,                 1.0426,                0.58574,                0.48745,                0.51212,                0.31601,                 1.3262,                 1.0141,                 1.0641,              0.0092294,              0.0092294,              0.0092294
                     38,                 1.3337,                0.98181,                 1.0398,                0.59274,                0.48513,                0.51671,                0.32139,                 1.3219,                 1.0071,                 1.0617,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.3277,                0.97964,                 1.0387,                0.59958,                0.49118,                0.51984,                0.32143,                 1.3275,                 1.0085,                 1.0643,               0.009144,               0.009144,               0.009144
                     40,                 1.3272,                0.97594,                 1.0406,                0.60188,                0.49115,                0.52187,                0.32296,                 1.3214,                0.99782,                 1.0642,              0.0090998,              0.0090998,              0.0090998
                     41,                 1.3305,                0.96842,                 1.0393,                0.61965,                0.49155,                 0.5259,                0.32582,                 1.3191,                0.99485,                 1.0612,              0.0090546,              0.0090546,              0.0090546
                     42,                 1.3249,                0.96768,                 1.0363,                0.60467,                0.49773,                0.52733,                 0.3264,                 1.3178,                0.99564,                 1.0642,              0.0090084,              0.0090084,              0.0090084
                     43,                 1.3218,                0.96452,                 1.0397,                0.60782,                0.48656,                0.52178,                0.32345,                 1.3195,                 0.9994,                 1.0663,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.3188,                0.96056,                 1.0362,                0.61498,                0.49637,                0.52704,                0.32642,                 1.3177,                0.99303,                 1.0657,              0.0089131,              0.0089131,              0.0089131
