model,size_bin,iou,n,matched500,match500_rate,sameclass_oracle1000_rate,anyclass_oracle1000_rate,unmatched,rank_budget,class_confusion,competition,coverage_localization,best_valid_sameclass_rank_mean,best_valid_sameclass_rank_p50,best_valid_sameclass_rank_p90,best_valid_sameclass_score_mean,matched500_score_mean,rank_budget_501_1000_share_of_unmatched,class_confusion_share_of_unmatched,competition_within_top500_share_of_unmatched,coverage_localization_share_of_unmatched
E1,0-8,0.5,2423,1295,0.5344614114733801,0.5629385059843169,0.6776723070573669,1128,66,278,3,781,142.5681818181818,79.0,355.8000000000002,0.24443666046870055,0.25514224128326596,0.05851063829787234,0.24645390070921985,0.0026595744680851063,0.6923758865248227
E1,16-24,0.5,8596,7313,0.8507445323406235,0.8834341554211261,0.9709167054443928,1283,239,752,42,250,97.37542796944956,50.0,227.69999999999982,0.4555918842286187,0.46706584824587777,0.186282151208106,0.5861262665627436,0.03273577552611068,0.19485580670303976
E1,24-32,0.5,6035,5251,0.8700911350455676,0.8934548467274234,0.9741507870753935,784,128,487,13,156,79.79729228486647,39.0,178.0,0.529693214198694,0.5388237368476413,0.16326530612244897,0.6211734693877551,0.016581632653061226,0.1989795918367347
E1,8-16,0.5,9532,7186,0.753881661770877,0.78629878304658,0.9062106588334032,2346,261,1143,48,894,116.2621747831888,66.0,269.0,0.36728278832627226,0.37693035183673684,0.11125319693094629,0.48721227621483376,0.020460358056265986,0.38107416879795397
E1,0-8,0.75,2423,268,0.11060668592653736,0.11390837804374743,0.1390837804374742,2155,8,61,0,2086,112.96376811594203,65.0,263.5,0.31333478957674454,0.3222964901994886,0.0037122969837587007,0.028306264501160094,0.0,0.9679814385150812
E1,16-24,0.75,8596,4599,0.5350162866449512,0.553396928804095,0.6276174965100046,3997,154,638,4,3201,92.77906243430733,43.0,222.40000000000055,0.49085008224485327,0.5067662572586707,0.03852889667250438,0.15961971478608958,0.0010007505629221916,0.8008506379784839
E1,24-32,0.75,6035,3869,0.6410936205468103,0.6609776304888152,0.7333885666942833,2166,116,437,4,1609,78.67686136876411,33.0,178.20000000000027,0.5596911378399072,0.5761872917453369,0.05355493998153278,0.20175438596491227,0.0018467220683287165,0.7428439519852262
E1,8-16,0.75,9532,3120,0.3273185060847671,0.3380193033990768,0.39530004196391105,6412,97,546,5,5764,99.86778398510242,56.0,223.9000000000001,0.4231621039548815,0.4357514658659989,0.01512788521522146,0.0851528384279476,0.0007797878976918279,0.8989394884591391
E5a,0-8,0.5,2423,1281,0.5286834502682625,0.5538588526619893,0.6756087494841106,1142,58,295,3,786,140.41132637853948,82.0,340.9000000000001,0.23615653901836306,0.24497437237428937,0.050788091068301226,0.2583187390542907,0.002626970227670753,0.6882661996497373
E5a,16-24,0.5,8596,7332,0.8529548627268497,0.8827361563517915,0.9664960446719404,1264,225,720,31,288,97.1429889298893,51.0,226.0,0.4534315385335762,0.46329421525032854,0.17800632911392406,0.569620253164557,0.0245253164556962,0.22784810126582278
